Date,S,E,I,R,H,C,D
290,940195.095,174.255,453.445,58663.355,43.415,11.045,459.39
291,940042.435,178.84,472.715,58788.665,45.7,11.645,460.0
292,939884.005,185.58,488.395,58921.25,48.205,11.81,460.755
293,939720.015,192.185,507.98,59056.085,49.945,12.435,461.355
294,939549.585,200.145,525.715,59197.635,52.02,13.005,461.895
295,939374.305,205.655,545.36,59344.325,54.155,13.65,462.55
296,939193.03,212.395,563.945,59496.98,56.125,14.3,463.225
297,939007.715,217.265,583.775,59653.905,58.385,14.975,463.98
298,938815.31,224.685,603.07,59816.34,60.21,15.675,464.71
299,938617.96,230.47,621.98,59984.92,62.65,16.49,465.53
